gate_id,applies_to_group_id,risk_area,allow_condition,block_condition,quick_caution,source_ids,citation_urls,runtime_action
GATE_NSAID,IBUPROFEN_ORAL;NAPROXEN_ORAL;DICLOFENAC_ORAL;ETORICOXIB_ORAL;CELECOXIB_ORAL,GI/renal/CV/pregnancy,short course with food if no contraindication,"active GI bleed, severe renal disease, late pregnancy, duplicate NSAID, high CV risk without clinician review",GI bleed/renal/CV risk; avoid duplicate NSAID,FDA_NSAID;DM_IBUPROFEN,https://www.fda.gov/drugs/postmarket-drug-safety-information-patients-and-providers/ibuprofen-drug-facts-label; https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=ibuprofen,block_or_warn
GATE_PED_COLD,CHLORPHENIRAMINE_ORAL;DECONGESTANT_COMBO_ORAL;DEXTROMETHORPHAN_ORAL,pediatric cough/cold age gate,adult or older child per label,age <2 absolute block for decongestant/antihistamine cough-cold products; avoid <4 unless clinician-directed,"sedation, tachycardia, overdose risk",FDA_COUGH_COLD_CHILDREN,https://www.fda.gov/drugs/safe-use-over-counter-otc-medicines-children/use-caution-when-giving-cough-and-cold-products-kids,block
GATE_NASAL_DECONG,NASAL_DECONGESTANT_TOPICAL,rhinitis medicamentosa/CV,use ≤3 days,"use >3 days, severe HTN/arrhythmia caution",rebound congestion,CDC_ADULT_ABX;DM_LABEL,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html; https://dailymed.nlm.nih.gov/dailymed/,limit_duration
GATE_ABX,AMOXICILLIN_ORAL;AMOX_CLAV_ORAL;MACROLIDE_ORAL;CEPHALEXIN_ORAL;NITROFURANTOIN_ORAL;FLUOROQUINOLONE_ORAL;ORAL_SKIN_ABX;ANTIBIOTIC_EYE_DROPS;TOPICAL_ANTIBIOTIC_SKIN;ORAL_CEPHALOSPORIN_3RD;TETRACYCLINE_ORAL;ANTIPROTOZOAL_ORAL;VAGINAL_MIXED_ANTIMICROBIAL,antibiotic stewardship,verified bacterial disease gate,viral URI/bronchitis/noninfected rash/no bacterial criteria,must pass disease-specific ABX gate; v4 adds cephalosporin/tetracycline/antiprotozoal/vaginal antimicrobial gates,CDC_ADULT_ABX;CDC_PED_ABX;AAO_CONJUNCTIVITIS;CDC_IMPETIGO,https://www.cdc.gov/antibiotic-use/hcp/clinical-care/adult-outpatient.html; https://www.cdc.gov/antibiotic-use/hcp/clinical-care/pediatric-outpatient.html; https://www.aao.org/education/preferred-practice-pattern/conjunctivitis-ppp-2023; https://www.cdc.gov/group-a-strep/hcp/clinical-guidance/impetigo.html,block
GATE_FQ,FLUOROQUINOLONE_ORAL,fluoroquinolone serious adverse effects,only when alternatives unsuitable and disease gate exists,routine cystitis/bronchitis/sinusitis if alternatives suitable,tendon/CNS/peripheral neuropathy/QT risk,FDA_FLUOROQUINOLONE,https://www.fda.gov/drugs/information-drug-class/fda-approves-safety-labeling-changes-fluoroquinolones,restrict
GATE_EYE_STEROID,OPHTHALMIC_STEROID,ocular steroid risk,specialist diagnosis/follow-up,"routine red eye, undiagnosed infection, contact lens keratitis concern",IOP/glaucoma/cataract/masked infection,AAO_CONJUNCTIVITIS;DM_OPHTH_STEROID,https://www.aao.org/education/preferred-practice-pattern/conjunctivitis-ppp-2023; https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=fluorometholone%20ophthalmic,block_fast_mode
GATE_TINEA_STEROID,STEROID_ANTIFUNGAL_COMBO,fungal rash steroid worsening,rare short selective use after diagnosis,routine tinea/cruris/corporis first-line,can worsen/mask fungal infection,CDC_TINEA,https://www.cdc.gov/fungal/hcp/clinical-care/index.html,block_first_line
GATE_DOMPERIDONE,DOMPERIDONE_ORAL,QT/cardiac risk,short course after QT risk screen,"known QT prolongation, arrhythmia, strong CYP3A4/QT interacting meds",QT prolongation/torsades/cardiac arrest risk,FDA_DOMPERIDONE,https://www.fda.gov/drugs/information-drug-class/information-about-domperidone,restrict
GATE_ERGOT,ERGOTAMINE_ORAL,vasospasm/pregnancy/CV,migraine-specific restricted use,"pregnancy, CAD/stroke, uncontrolled HTN, potent CYP3A4 inhibitors",ergotism/vasospasm risk,DM_LABEL,https://dailymed.nlm.nih.gov/dailymed/,restrict
GATE_CHRONIC,METFORMIN_ORAL;STATIN_ORAL;LEVOTHYROXINE_ORAL;ANTITHYROID_ORAL;ORLISTAT_ORAL;NEUROPATHIC_PAIN_ORAL,chronic disease lab/diagnostic requirements,diagnosis confirmed and monitoring available,no labs/uncertain diagnosis/acute complaint only,"review-only, not instant OPD FAST prescription",ADA_DIABETES_2026;NICE_LIPID_NG238;NICE_THYROID_NG145;NICE_OBESITY;NICE_NEUROPATHIC_PAIN,https://diabetesjournals.org/care/article/49/Supplement_1/S183/163934/9-Pharmacologic-Approaches-to-Glycemic-Treatment; https://www.nice.org.uk/guidance/ng238/chapter/Recommendations; https://www.nice.org.uk/guidance/ng145/chapter/recommendations; https://www.nice.org.uk/guidance/cg189; https://www.nice.org.uk/guidance/cg173,review_only
GATE_MONTELUKAST,MONTELUKAST_ORAL,neuropsychiatric warning,asthma/allergic rhinitis adjunct when benefits outweigh risks,mild rhinitis when alternatives adequate or mental health adverse concern,boxed-warning style caution for neuropsychiatric effects,GINA_ASTHMA_2025;DM_LABEL,https://ginasthma.org/wp-content/uploads/2025/11/GINA-Summary-Guide-2025-WEB_FINAL-WMS.pdf; https://dailymed.nlm.nih.gov/dailymed/,restrict
GATE_V4_CHRONIC_REFERENCE,ANTIHYPERTENSIVE_CCB_ORAL;ANTIHYPERTENSIVE_ACEI_ORAL;ANTIHYPERTENSIVE_ARB_ORAL;ANTIHYPERTENSIVE_BETA_BLOCKER_ORAL;ANTIHYPERTENSIVE_VASODILATOR_ORAL;DIABETES_SULFONYLUREA_ORAL;DIABETES_DPP4_ORAL;FIBRATE_ORAL;DIURETIC_ORAL;ALPHA_BLOCKER_ORAL;ANTIEPILEPTIC_ORAL;ANTIPLATELET_ORAL;FINASTERIDE_ORAL,chronic medication continuation,known existing indication and clinician review,new start in FAST MODE or unstable symptoms,"reference/continuation only, not acute OPD default",DM_LABEL;SOURCE_GAP_MANUAL_REVIEW,https://dailymed.nlm.nih.gov/dailymed/,reference_only
GATE_V4_CONTRACEPTIVE,CONTRACEPTIVE_COMBINED_ORAL;CONTRACEPTIVE_PROGESTIN_ONLY;CONTRACEPTIVE_PATCH,pregnancy/VTE/migraine/smoking eligibility,eligibility reviewed and no contraindication,"pregnancy suspected, migraine aura, VTE risk, smoker age >35 for CHC, severe HTN, interacting drugs",contraception rows are reference/doctor-confirm only,DM_LABEL;SOURCE_GAP_MANUAL_REVIEW,https://dailymed.nlm.nih.gov/dailymed/,reference_only
GATE_V4_SEDATING_ANTIHISTAMINE,HYDROXYZINE_ORAL;CYPROHEPTADINE_ORAL;SEDATING_ANTIHISTAMINE_ORAL;VERTIGO_ANTIHISTAMINE_ORAL,sedation/anticholinergic/QT/fall risk,"adult, short course, understands sedation precautions","elderly/fall risk, driving, alcohol, severe QT risk, young child without dose rule",sedating; avoid driving/alcohol,DM_LABEL;FDA_COUGH_COLD_CHILDREN,https://dailymed.nlm.nih.gov/dailymed/; https://www.fda.gov/drugs/safe-use-over-counter-otc-medicines-children/use-caution-when-giving-cough-and-cold-products-kids,warn_or_block
GATE_V4_HIGH_POTENCY_STEROID,HIGH_POTENCY_TOPICAL_STEROID,skin atrophy/systemic steroid exposure,short course on appropriate non-sensitive area,face/groin/children/large area/infected rash unless clinician-directed,high potency; not routine dermatitis FAST default,NICE_ECZEMA;DM_LABEL,https://cks.nice.org.uk/topics/eczema-atopic/management/management/; https://dailymed.nlm.nih.gov/dailymed/,restricted
GATE_V4_LAXATIVE_RECTAL,SENNOSIDE_ORAL;GLYCERIN_RECTAL;SALINE_ENEMA_RECTAL;CASTOR_OIL_ORAL,obstruction/dehydration/age-specific use,uncomplicated constipation rescue; adult unless peds dose available,"acute abdomen, vomiting, obstruction, severe dehydration, infant/child without product dose",avoid obstruction; pediatric dose must be exact,NICE_CONSTIPATION;DM_LABEL,https://cks.nice.org.uk/topics/constipation/management/adults/; https://dailymed.nlm.nih.gov/dailymed/,warn_or_block
GATE_V4_SOURCE_GAP_REFERENCE,HERBAL_RESPIRATORY_REFERENCE;HERBAL_URINARY_REFERENCE;NEUROVASCULAR_REFERENCE_ORAL;UNCLASSIFIED_REFERENCE,evidence gap/no OPD default role,browse/reference only,any automatic RX NOW/SWAPS default use,source gap; do not auto-prescribe,SOURCE_GAP_MANUAL_REVIEW,,block_fast_mode
GATE_RED_EYE_VISION,ARTIFICIAL_TEARS;ANTIBIOTIC_EYE_DROPS;EYE_WASH_SUPPORT,eye red flags,mild irritation/discharge without pain/photophobia/vision loss/contact lens corneal concern,"severe eye pain, photophobia, vision loss, corneal opacity, contact lens with pain, trauma/chemical exposure",urgent eye evaluation for pain/vision loss/contact lens corneal symptoms,AAO_EYE_SAFETY,https://www.aao.org/education/preferred-practice-pattern/conjunctivitis-ppp-2023,block_and_refer
GATE_TINEA_STEROID_COMBO,STEROID_ANTIFUNGAL_COMBO;TOPICAL_STEROID_HIGH;TOPICAL_STEROID_LOW_MED,fungal rash steroid worsening,avoid steroid in suspected tinea unless clinician confirms alternate/inflammatory diagnosis,tinea corporis/cruris/pedis suspected; ringworm/jock itch with active border,steroid can worsen/mask fungal infection,CDC_FUNGAL_STEROID_CAUTION,https://www.cdc.gov/fungal/diseases/ringworm/steroids.html,block_or_warn
GATE_PREGNANCY_NSAID,IBUPROFEN_ORAL;NAPROXEN_ORAL;DICLOFENAC_ORAL;ETORICOXIB_ORAL;CELECOXIB_ORAL,pregnancy/renal/GI,"not pregnant, no GI bleed/renal/CV high risk, short course with food","pregnancy especially after 20 weeks/late pregnancy, renal disease, GI bleed, duplicate NSAID",avoid NSAID in pregnancy/renal/GI bleed risk,FDA_NSAID,https://www.fda.gov/drugs/drug-safety-and-availability/fda-recommends-avoiding-use-nsaids-pregnancy-20-weeks-or-later,block_or_warn
