output_bucket,product_id,generic_name,disease_key,regimen_id,final_rx_status,source_ids,duplicate_product_disease_rows
RX NOW,BDS004213,Cetirizine dihydrochloride 10 mg.,allergic_rhinitis_adult,FRM0001,gold_ready_adult,dailymed_cetirizine_10mg_tablet_f756d3b1,7
RX NOW,BDS004213,Cetirizine dihydrochloride 10 mg.,allergic_rhinitis_adult,FRM0001,gold_ready_adult,dailymed_cetirizine_10mg_tablet_f756d3b1,7
RX NOW,BDS003762,Paracetamol 500 mg.,uri_wet_cough_adult,FRM0002,gold_ready_adult,dailymed_acetaminophen_500mg_tablet_0d67bb52,2
RX NOW,BDS003762,Paracetamol 500 mg.,uri_wet_cough_adult,FRM0002,gold_ready_adult,dailymed_acetaminophen_500mg_tablet_0d67bb52,2
RX NOW,BDS003762,Paracetamol 500 mg.,sore_throat_adult,FRM0006,gold_ready_adult,dailymed_acetaminophen_500mg_tablet_0d67bb52,2
RX NOW,BDS004213,Cetirizine dihydrochloride 10 mg.,allergic_rhinitis_adult,FRM0001,gold_ready_adult,dailymed_cetirizine_10mg_tablet_f756d3b1,7
RX NOW,BDS004213,Cetirizine dihydrochloride 10 mg.,allergic_rhinitis_adult,FRM0001,gold_ready_adult,dailymed_cetirizine_10mg_tablet_f756d3b1,7
RX NOW,BDS004213,Cetirizine dihydrochloride 10 mg.,allergic_rhinitis_adult,FRM0001,gold_ready_adult,dailymed_cetirizine_10mg_tablet_f756d3b1,7
RX NOW,BDS004213,Cetirizine dihydrochloride 10 mg.,allergic_rhinitis_adult,FRM0001,gold_ready_adult,dailymed_cetirizine_10mg_tablet_f756d3b1,7
RX NOW,BDS004213,Cetirizine dihydrochloride 10 mg.,allergic_rhinitis_adult,FRM0001,gold_ready_adult,dailymed_cetirizine_10mg_tablet_f756d3b1,7
RX NOW,BDS003762,Paracetamol 500 mg.,uri_dry_cough_adult,FRM0009,gold_ready_adult,dailymed_acetaminophen_500mg_tablet_0d67bb52,3
RX NOW,BDS003762,Paracetamol 500 mg.,uri_dry_cough_adult,FRM0009,gold_ready_adult,dailymed_acetaminophen_500mg_tablet_0d67bb52,3
RX NOW,BDS003762,Paracetamol 500 mg.,uri_dry_cough_adult,FRM0009,gold_ready_adult,dailymed_acetaminophen_500mg_tablet_0d67bb52,3
RX NOW,BDS003762,Paracetamol 500 mg.,sore_throat_adult,FRM0006,gold_ready_adult,dailymed_acetaminophen_500mg_tablet_0d67bb52,2
RX NOW,BDS003762,Paracetamol 500 mg.,common_cold_adult,FRM0015,gold_ready_adult,dailymed_acetaminophen_500mg_tablet_0d67bb52,3
RX NOW,BDS003762,Paracetamol 500 mg.,common_cold_adult,FRM0015,gold_ready_adult,dailymed_acetaminophen_500mg_tablet_0d67bb52,3
RX NOW,BDS003762,Paracetamol 500 mg.,common_cold_adult,FRM0015,gold_ready_adult,dailymed_acetaminophen_500mg_tablet_0d67bb52,3
RX NOW,BDS003762,Paracetamol 500 mg.,viral_fever_bodyache_adult,FRM0017,gold_ready_adult,dailymed_acetaminophen_500mg_tablet_0d67bb52,3
RX NOW,BDS003762,Paracetamol 500 mg.,viral_fever_bodyache_adult,FRM0017,gold_ready_adult,dailymed_acetaminophen_500mg_tablet_0d67bb52,3
RX NOW,BDS003762,Paracetamol 500 mg.,viral_fever_bodyache_adult,FRM0017,gold_ready_adult,dailymed_acetaminophen_500mg_tablet_0d67bb52,3
RX NOW,BDS003762,Paracetamol 500 mg.,tension_headache_adult,FRM0021,gold_ready_adult,dailymed_acetaminophen_500mg_tablet_0d67bb52,3
RX NOW,BDS003762,Paracetamol 500 mg.,tension_headache_adult,FRM0021,gold_ready_adult,dailymed_acetaminophen_500mg_tablet_0d67bb52,3
RX NOW,BDS003762,Paracetamol 500 mg.,tension_headache_adult,FRM0021,gold_ready_adult,dailymed_acetaminophen_500mg_tablet_0d67bb52,3
RX NOW,BDS001552,Carboxymethylcellulose Sodium (CMC) 0.5%+Calcium Chloride+Magnesium Chloride+Potassium Chloride+Sodium Chloride+Sodium Lactate+Hydrochloric Acid+Sodium Hydroxide,eye_lubrication_adult,FRM0036,gold_ready_adult,dailymed_cmc_0_5_eye_drops_fb84fc0b,3
RX NOW,BDS001552,Carboxymethylcellulose Sodium (CMC) 0.5%+Calcium Chloride+Magnesium Chloride+Potassium Chloride+Sodium Chloride+Sodium Lactate+Hydrochloric Acid+Sodium Hydroxide,eye_lubrication_adult,FRM0036,gold_ready_adult,dailymed_cmc_0_5_eye_drops_fb84fc0b,3
RX NOW,BDS001552,Carboxymethylcellulose Sodium (CMC) 0.5%+Calcium Chloride+Magnesium Chloride+Potassium Chloride+Sodium Chloride+Sodium Lactate+Hydrochloric Acid+Sodium Hydroxide,eye_lubrication_adult,FRM0036,gold_ready_adult,dailymed_cmc_0_5_eye_drops_fb84fc0b,3
RX NOW,BDS003762,Paracetamol 500 mg.,acute_pharyngitis_viral_adult,FRM0043,gold_ready_adult,dailymed_acetaminophen_500mg_tablet_0d67bb52,3
RX NOW,BDS003762,Paracetamol 500 mg.,acute_pharyngitis_viral_adult,FRM0043,gold_ready_adult,dailymed_acetaminophen_500mg_tablet_0d67bb52,3
RX NOW,BDS003762,Paracetamol 500 mg.,acute_pharyngitis_viral_adult,FRM0043,gold_ready_adult,dailymed_acetaminophen_500mg_tablet_0d67bb52,3
RX NOW,BDS001489,Clotrimazole 1 g./100 g.,tinea_cruris_adult,FRM0122,gold_ready_adult,dailymed_clotrimazole_1pct_cream_468f1b1b,3
RX NOW,BDS001489,Clotrimazole 1 g./100 g.,tinea_cruris_adult,FRM0122,gold_ready_adult,dailymed_clotrimazole_1pct_cream_468f1b1b,3
RX NOW,BDS001489,Clotrimazole 1 g./100 g.,tinea_cruris_adult,FRM0122,gold_ready_adult,dailymed_clotrimazole_1pct_cream_468f1b1b,3
RX NOW,BDS001489,Clotrimazole 1 g./100 g.,tinea_corporis_clotrimazole_adult,FRM0124,gold_ready_adult,dailymed_clotrimazole_1pct_cream_468f1b1b,3
RX NOW,BDS001489,Clotrimazole 1 g./100 g.,tinea_corporis_clotrimazole_adult,FRM0124,gold_ready_adult,dailymed_clotrimazole_1pct_cream_468f1b1b,3
RX NOW,BDS001489,Clotrimazole 1 g./100 g.,tinea_corporis_clotrimazole_adult,FRM0124,gold_ready_adult,dailymed_clotrimazole_1pct_cream_468f1b1b,3
SWAP,BDS003747,Fexofenadine HCl 180 mg.,allergic_rhinitis_adult,FRM0001,gold_ready_adult,dailymed_fexofenadine_180mg_tablet_2de81a41,7
SWAP,BDS003747,Fexofenadine HCl 180 mg.,allergic_rhinitis_adult,FRM0001,gold_ready_adult,dailymed_fexofenadine_180mg_tablet_2de81a41,7
SWAP,BDS001552,Carboxymethylcellulose Sodium (CMC) 0.5%+Calcium Chloride+Magnesium Chloride+Potassium Chloride+Sodium Chloride+Sodium Lactate+Hydrochloric Acid+Sodium Hydroxide,dry_eye_adult,FRM0007,gold_ready_adult,dailymed_cmc_0_5_eye_drops_fb84fc0b,1
SWAP,BDS003747,Fexofenadine HCl 180 mg.,allergic_rhinitis_adult,FRM0001,gold_ready_adult,dailymed_fexofenadine_180mg_tablet_2de81a41,7
SWAP,BDS003747,Fexofenadine HCl 180 mg.,allergic_rhinitis_adult,FRM0001,gold_ready_adult,dailymed_fexofenadine_180mg_tablet_2de81a41,7
SWAP,BDS003747,Fexofenadine HCl 180 mg.,allergic_rhinitis_adult,FRM0001,gold_ready_adult,dailymed_fexofenadine_180mg_tablet_2de81a41,7
SWAP,BDS003747,Fexofenadine HCl 180 mg.,allergic_rhinitis_adult,FRM0001,gold_ready_adult,dailymed_fexofenadine_180mg_tablet_2de81a41,7
SWAP,BDS003747,Fexofenadine HCl 180 mg.,allergic_rhinitis_adult,FRM0001,gold_ready_adult,dailymed_fexofenadine_180mg_tablet_2de81a41,7
SWAP,BDS001552,Carboxymethylcellulose Sodium (CMC) 0.5%+Calcium Chloride+Magnesium Chloride+Potassium Chloride+Sodium Chloride+Sodium Lactate+Hydrochloric Acid+Sodium Hydroxide,eye_irritation_adult,FRM0010,gold_ready_adult,dailymed_cmc_0_5_eye_drops_fb84fc0b,3
SWAP,BDS001552,Carboxymethylcellulose Sodium (CMC) 0.5%+Calcium Chloride+Magnesium Chloride+Potassium Chloride+Sodium Chloride+Sodium Lactate+Hydrochloric Acid+Sodium Hydroxide,eye_irritation_adult,FRM0010,gold_ready_adult,dailymed_cmc_0_5_eye_drops_fb84fc0b,3
SWAP,BDS001552,Carboxymethylcellulose Sodium (CMC) 0.5%+Calcium Chloride+Magnesium Chloride+Potassium Chloride+Sodium Chloride+Sodium Lactate+Hydrochloric Acid+Sodium Hydroxide,eye_irritation_adult,FRM0010,gold_ready_adult,dailymed_cmc_0_5_eye_drops_fb84fc0b,3
SWAP,BDS003762,Paracetamol 500 mg.,musculoskeletal_pain_adult,FRM0011,gold_ready_adult,dailymed_acetaminophen_500mg_tablet_0d67bb52,4
SWAP,BDS003762,Paracetamol 500 mg.,musculoskeletal_pain_adult,FRM0011,gold_ready_adult,dailymed_acetaminophen_500mg_tablet_0d67bb52,4
SWAP,BDS003762,Paracetamol 500 mg.,musculoskeletal_pain_adult,FRM0011,gold_ready_adult,dailymed_acetaminophen_500mg_tablet_0d67bb52,4
SWAP,BDS003762,Paracetamol 500 mg.,musculoskeletal_pain_adult,FRM0011,gold_ready_adult,dailymed_acetaminophen_500mg_tablet_0d67bb52,4
SWAP,BDS003762,Paracetamol 500 mg.,aphthous_ulcer_pain_adult,FRM0062,gold_ready_adult,dailymed_acetaminophen_500mg_tablet_0d67bb52,3
SWAP,BDS003762,Paracetamol 500 mg.,aphthous_ulcer_pain_adult,FRM0062,gold_ready_adult,dailymed_acetaminophen_500mg_tablet_0d67bb52,3
SWAP,BDS003762,Paracetamol 500 mg.,aphthous_ulcer_pain_adult,FRM0062,gold_ready_adult,dailymed_acetaminophen_500mg_tablet_0d67bb52,3
SWAP,BDS003762,Paracetamol 500 mg.,localized_muscle_ache_support_adult,FRM0067,gold_ready_adult,dailymed_acetaminophen_500mg_tablet_0d67bb52,3
SWAP,BDS003762,Paracetamol 500 mg.,localized_muscle_ache_support_adult,FRM0067,gold_ready_adult,dailymed_acetaminophen_500mg_tablet_0d67bb52,3
SWAP,BDS003762,Paracetamol 500 mg.,localized_muscle_ache_support_adult,FRM0067,gold_ready_adult,dailymed_acetaminophen_500mg_tablet_0d67bb52,3
SWAP,BDS001489,Clotrimazole 1 g./100 g.,tinea_pedis_adult,FRM0123,gold_ready_adult,dailymed_clotrimazole_1pct_cream_468f1b1b,3
SWAP,BDS001489,Clotrimazole 1 g./100 g.,tinea_pedis_adult,FRM0123,gold_ready_adult,dailymed_clotrimazole_1pct_cream_468f1b1b,3
SWAP,BDS001489,Clotrimazole 1 g./100 g.,tinea_pedis_adult,FRM0123,gold_ready_adult,dailymed_clotrimazole_1pct_cream_468f1b1b,3
